size_bytes,bandwidth_arg,run,seconds,bits_per_sec,bytes,packets,lost_packets,lost_percent,jitter_ms,pps,bytes_per_sec,cpu_percent_host_total,cpu_percent_remote_total
1024,100M,1,30.027863,99877745.6914616,374580224,365802,993,0.2714583299161842,0.5664380675939245,12182.085684885402,12474421.639661804,14.572357919093937,17.636942734552022
1024,100M,10,30.032598,99977222.0738477,374950912,366164,1152,0.31461312417386744,1.0799149437890538,12192.218601933806,12484797.752095906,17.114497117805477,22.215843972320766
1024,100M,2,30.013064,99948337.2660174,374862848,366078,1218,0.3327159785619458,1.1236367815902215,12197.288487440002,12489989.292662688,14.976063757296712,17.0258748650841
1024,100M,3,30.011208,99982737.81423125,374994944,366206,980,0.26760894141548747,0.1925568653996256,12202.30788444104,12495163.273667624,13.632910151463163,18.7429682630733
1024,100M,4,30.019145,99843442.26546997,374533120,365755,1003,0.2742272832907274,0.06189487736059913,12184.057873733578,12476475.262703184,14.35803532529541,19.31098653224417
1024,100M,5,30.015248,99978696.1987228,374961152,366174,1231,0.33617897502280336,0.08474000212989673,12199.599350303553,12492355.618717527,12.120306831561,18.6871412078883
1024,100M,6,30.02144,99968235.2814952,375029760,366240,1065,0.29079292267365664,0.4155571240293356,12199.281580097424,12492064.338019762,13.779220157365282,19.469371846782
1024,100M,7,30.020775,99981841.12567563,375106560,366315,2072,0.5656334029455523,0.32288195034211553,12202.050080319379,12494899.282247044,15.395715663601116,20.9254867798857
1024,100M,8,30.009807,99902232.5859251,374681600,365900,1070,0.29242962558075974,0.38550324525276564,12192.680879287229,12485305.220390122,13.98999430813936,20.30332156076128
1024,100M,9,30.035252,99941391.0347411,374907904,366121,1275,0.348245525386416,0.5335752320272535,12189.709611892053,12482262.642577462,16.127994749545294,22.213878700036627
1024,80M,1,30.030605,79966046.28345674,299994112,292963,987,0.33690261227527024,1.5351717430574061,9755.4811166808,9989612.663481139,5.507022951641185,8.008455063792756
1024,80M,10,30.014491,79960900.20468286,299922432,292893,596,0.20348728033787084,0.8671276801489017,9758.386374101763,9992587.647080205,5.042158304854353,14.782851505773525
1024,80M,2,30.016305,79962730.965876,299961344,292931,725,0.247498557680819,0.5120731281191887,9759.062616134797,9993280.118922032,5.620432482956572,10.827437072018482
1024,80M,3,30.020312,79954723.5239144,299973632,292943,724,0.24714705591190095,0.3884040466377913,9758.159741977364,9992355.575784821,5.875261022443796,11.765332515045351
1024,80M,4,30.00859,79970694.85923524,299927552,292898,506,0.17275638618222044,0.584155944925395,9760.471918207419,9994723.244244397,7.438985170579526,12.38977251271318
