size_bytes,bandwidth_arg,run,seconds,bits_per_sec,bytes,packets,lost_packets,lost_percent,jitter_ms,pps,bytes_per_sec,cpu_percent_host_total,cpu_percent_remote_total
1024,1000M,1,30.011538,925857801.783903,3473180672,3391778,2757,0.0812848010689379,0.006806262307104037,113015.80078968295,115728180.00863534,31.328094376234027,39.518078037941414
1024,1000M,2,30.01305,922772679.5242475,3460946944,3379831,2825,0.08358406085984772,0.011579226491755886,112612.04709284795,115314736.2230763,31.6790653677007,39.14618860759616
1024,1000M,3,30.015304,927064338.072559,3478012928,3396497,1742,0.051288135982454866,0.00825948113301721,113158.84057013049,115874652.74381362,31.61006510528674,39.29979335624933
1024,1000M,4,30.003041,899422902.6514302,3372962816,3293909,10093,0.30641405090426,0.03548258858445445,109785.83804221712,112420698.15523033,29.29698038594475,43.22554776857984
1024,800M,1,30.020571,799877252.4073325,3001472000,2931125,6131,0.209168834491876,0.011131789096429551,97637.21682708833,99980510.03093845,26.005360859335365,33.830041349863954
1024,800M,2,30.009041,799918058.50025,3000428544,2930106,5643,0.19258688934803042,0.005970524400082875,97640.77432531083,99984152.9091183,26.128894663479723,35.35262384514984
1024,800M,3,30.008834,799702785.1891536,2999640064,2929336,4674,0.15955834359732035,0.008064962726057997,97615.78873740979,99958567.66710763,25.536234292153694,34.103186498577124
1024,800M,4,30.003613,799928706.5292597,2999928832,2929618,3728,0.12725208542547187,0.0078117605755118275,97642.17396084931,99985586.13590969,26.997198403939215,33.48586561179246
1280,1000M,1,30.002369,939428830.2390524,3522974720,2752324,990,0.03596960241599463,0.010178215786173042,91736.88917698465,117423218.14654036,22.633019931373806,29.94421822775624
1280,1000M,2,30.002577,936098925.174747,3510528000,2742600,4013,0.1463210092612849,0.022768533955437438,91412.14769651287,117007549.05153647,27.829800279316775,34.05697006489656
1280,1000M,3,30.008852,906950933.6575273,3401827840,2657678,49310,1.8553790188277135,0.010230220942810982,88563.13463773955,113360812.33630663,25.427586161908224,30.4608566661907
1280,1000M,4,30.021555,942434953.2934263,3535197440,2761873,6203,0.22459396214090946,0.012780458598810187,91996.33396737778,117755307.47824354,26.5431225150796,29.97840455663755
1280,800M,1,30.013532,799996076.2780086,3001217280,2344701,990,0.04222286764922265,0.011856967406997553,78121.46201253487,99995471.37604465,21.057284665804453,28.2704947593133
1280,800M,2,30.006987,799981992.750509,3000501760,2344142,21567,0.920038120557543,0.015398150168470728,78119.87254835016,99993436.8618882,22.119496039207963,27.600194421074924
1280,800M,3,30.006931,799576050.969815,2998883840,2342878,4986,0.21281517859658078,0.0329336812309455,78077.89473705259,99939705.2634273,24.75611432077958,27.07368370959055
1280,800M,4,30.010678,799923371.9437184,3000597760,2344217,1610,0.0686796486844008,0.012145769799133677,78112.76373029627,99984337.57477923,22.362259349023613,31.135474501432554
128,1000M,1,30.005322,216364510.79515722,811382656,6338927,299347,4.722360740232535,0.003578624367061494,211260.08912685557,27041291.408237513,52.0652666747006,86.23093526970897
128,1000M,2,30.016385,224509354.78706452,842260736,6580163,298303,4.533367942405074,0.004670270240126536,219219.03653621182,28060032.412297484,54.75163711654511,90.62328511374118
128,1000M,3,30.020399,219741033.1274434,824536064,6441689,343755,5.336410994073138,0.0037601410135701127,214577.0614174715,27465859.597668905,53.188229029632275,82.60019291477084
128,1000M,4,30.014426,225117022.15430507,844482048,6597517,379464,5.7516183740034315,0.0011115635726155887,219811.53329402333,28135871.997019034,55.55689646419039,84.1760012404674
128,1000M,5,30.009379,219441443.9531574,823100800,6430476,296472,4.61042075267834,0.0017290400173842874,214282.20823896423,27428118.38925424,51.98574280429261,82.99390948132273
128,1000M,6,30.012998,216670007.5871447,812818304,6350143,305882,4.816930894312144,0.001379840518736464,211579.7628747385,27082209.647966526,51.2757552340991,84.2330834472945
128,1000M,7,30.003112,220255739.1461616,825997952,6453110,410982,6.368743133155951,0.0051357157246931,215081.3555607165,27530409.245547593,53.76140468757479,83.48453684596765
128,800M,1,30.007451,263491850.84635136,988221312,7720479,437911,5.672070346930546,0.0010664522117371275,257285.3988830974,32932531.057036467,61.2927322176904,77.1174104492775
128,800M,2,30.012164,248722137.09036738,932967680,7288811,330891,4.539711621003755,0.0010182030483889383,242861.89426393912,31086318.200846832,59.36173086926877,82.8862625282756
128,800M,3,30.003598,228322938.1323808,856290560,6689770,346651,5.181807446294865,0.005556839524050944,222965.59232662697,28539595.81780825,53.22053492231347,79.99022786049638
128,800M,4,30.006096,220817664.3558553,828189568,6470232,403832,6.241383616538016,0.0026673829392452756,215630.58386535855,27600710.46896604,51.68308988593744,83.46953871732187
128,800M,5,30.011174,219292033.28674,822580480,6426411,344441,5.35977235193952,0.001959666120926065,214133.94224431206,27409140.342193875,53.81411181483895,82.83571924195788
